CIPAS	1	2	13	14
#HEADINFO
#DESCRIPTION	"CI30"
#SCD_CATEGORY	-999
#DATA_STORAGE_FORMAT	TXT
#TIME	PDAY	0	2012	03	05	-999	2012	03	05	-999
#LEVEL	1	L88
#MISSING_VALUE 	999999
#ATTRIBUTES 	1636	4	StationNo	Lontitude	Latitude	data
#FORMATDEFINE	d10	f10.2	f10.2	f10.2
#PROJECTION	LAMBERT
#SPECIAL_BOX	120.3	42.6	123.3	20.6
#DRAWSET	-999
#DATASET
#DATA	1
	56184	103.17	31.43	-1.9523
	56883	103.98	24.83	-1.9268
	56885	103.45	24.4	-1.8611
	57708	105.6	27.15	-1.8276
	56674	101.73	26.5	-1.8193
	56886	103.77	24.53	-1.8193
	56665	101.85	26.68	-1.8003
	56474	102.17	28.55	-1.7967
	56666	101.72	26.58	-1.743
	56786	103.83	25.58	-1.7135
	56880	103.17	24.92	-1.7082
	56585	103.53	27.18	-1.7029
	56788	103.67	25.03	-1.6112
	56881	103.27	24.75	-1.5966
	56878	102.75	24.13	-1.5907
	56671	102.25	26.65	-1.5222
	56567	100.85	27.3	-1.5216
	56876	102.77	24.28	-1.5125
	57008	105.3	34.03	-1.5046
	56578	102.75	27.07	-1.5019
	56494	104.15	28.65	-1.4956
	56575	102.55	27.37	-1.4903
	56869	101.97	24.07	-1.4777
	56697	104.08	26.22	-1.4733
	56257	100.27	30.0	-1.4623
	56879	102.92	24.2	-1.4606
	56565	101.52	27.43	-1.4547
	56571	102.27	27.9	-1.4546
	57006	105.75	34.58	-1.4484
	57509	106.93	28.95	-1.4289
	56675	102.58	26.65	-1.4282
	56875	102.55	24.33	-1.4279
	56970	102.48	23.7	-1.4125
	56688	103.17	26.1	-1.4051
	56569	102.18	27.42	-1.4007
	56976	102.83	23.23	-1.3695
	56873	102.9	24.67	-1.3463
	56371	102.23	29.92	-1.3402
	56889	104.17	24.05	-1.3388
	54610	116.1	38.73	-1.3361
	56586	103.72	27.35	-1.3356
	54603	115.77	38.72	-1.3327
	56898	102.4	24.18	-1.3306
	56793	104.47	25.72	-1.3264
	57612	106.65	29.02	-1.3226
	56378	102.35	29.23	-1.3061
	56594	104.05	27.63	-1.3022
	56782	103.55	25.42	-1.2976
	56684	103.28	26.42	-1.2817
	57348	109.53	31.02	-1.2801
	56475	102.52	28.65	-1.2783
	56376	102.63	29.35	-1.2719
	54617	116.12	38.18	-1.2693
	56785	103.03	25.33	-1.2542
	56664	101.27	26.63	-1.2527
	56670	102.12	26.9	-1.2427
	56790	104.25	25.68	-1.2409
	56783	103.8	25.5	-1.2401
	54615	116.83	38.58	-1.2286
	54700	115.93	38.03	-1.2194
	54704	115.57	37.55	-1.2083
	56870	102.17	24.67	-1.2074
	54616	116.85	38.35	-1.2049
	56856	100.87	24.47	-1.2042
	54612	116.45	38.87	-1.2013
	56652	100.75	26.68	-1.1999
	56978	102.42	23.0	-1.1991
	54713	116.53	37.88	-1.1977
	54719	116.68	38.03	-1.1896
	56964	100.97	22.78	-1.1888
	57522	107.42	29.75	-1.1855
	57623	107.6	28.88	-1.1835
	56462	101.5	29.0	-1.1772
	56781	103.27	25.55	-1.175
	56871	102.6	24.65	-1.1734
	56982	103.25	23.7	-1.1722
	54601	115.65	38.98	-1.1664
	56948	99.6	22.63	-1.161
	56882	102.8	24.88	-1.1598
	54751	120.73	37.93	-1.1579
	53688	114.55	38.45	-1.1498
	54613	116.62	38.7	-1.1486
	57909	105.82	24.98	-1.1459
	54701	115.2	37.93	-1.137
	56459	101.27	27.93	-1.132
	53513	107.37	40.73	-1.1221
	56836	97.95	24.7	-1.1198
	53512	106.8	39.8	-1.1194
	56989	103.95	22.5	-1.1194
	56959	100.78	22.0	-1.1187
	56387	103.27	29.23	-1.1186
	54636	116.1	39.02	-1.1181
	54611	115.32	38.93	-1.1121
	56854	100.13	24.45	-1.1104
	56247	99.1	30.0	-1.1097
	54604	115.33	38.42	-1.1026
	57349	109.87	31.07	-1.0996
	54605	115.93	38.93	-1.0993
	54602	115.52	38.85	-1.095
	54800	115.25	36.98	-1.0924
	54703	115.88	37.8	-1.0905
	53695	114.68	38.35	-1.0897
	53680	114.38	38.3	-1.0888
	56792	104.97	25.78	-1.0884
	54503	115.82	39.07	-1.0874
	54710	116.17	37.87	-1.0873
	56669	101.67	26.05	-1.0853
	53697	114.83	38.03	-1.0842
	56975	102.43	23.37	-1.0832
	54753	120.33	37.63	-1.0745
